id,entryId,entryOwnerText,entryTenantText,entryCategoryText,rent,cadaster1808Correspondance,toponym,entryCategories,cadaster1808ClosestParcel,position,entryOwnerText_l,entryTenantText_l,TenantExtracted,OwnerExtracted,OwnerExtractedClean,TenantExtractedClean
13,213.0,Conte Cesare e nipoti Piovene,Almorò Zorzi,"Casa, primo soler n.2",12.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33726603, 45.43731144]",conte cesare e nipoti piovene,almorò zorzi,"('zorzi', 100)","('piovene', 100)",piovene,zorzi
14,213.0,Conte Cesare e nipoti Piovene,Francesca Bassani,"Casa, primo soler n.3",10.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33727068, 45.43732246]",conte cesare e nipoti piovene,francesca bassani,"('franceschi', 59)","('piovene', 100)",piovene,
15,213.0,Conte Cesare e nipoti Piovene,Piero Angelini,"Casa, primo soler n.4",8.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.3372796, 45.43733419]",conte cesare e nipoti piovene,piero angelini,"('piero', 100)","('piovene', 100)",piovene,piero
16,213.0,Conte Cesare e nipoti Piovene,Antonia Crose,"Casa, secondo soler n.5",12.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33728686, 45.43734467]",conte cesare e nipoti piovene,antonia crose,"('antoniassi', 70)","('piovene', 100)",piovene,
17,213.0,Conte Cesare e nipoti Piovene,Annibale Nardini,"Casa, secondo soler n.6",13.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33727721, 45.4372935]",conte cesare e nipoti piovene,annibale nardini,"('nardini', 100)","('piovene', 100)",piovene,nardini
18,213.0,Conte Cesare e nipoti Piovene,Domenico Lazari,"Casa, secondo soler n.7",12.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.3372843, 45.43730762]",conte cesare e nipoti piovene,domenico lazari,"('lazari', 100)","('piovene', 100)",piovene,lazari
19,213.0,Conte Cesare e nipoti Piovene,Gaspare Vicelli,"Casa, secondo soler n.8",8.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33728892, 45.43731925]",conte cesare e nipoti piovene,gaspare vicelli,"('vicelli', 100)","('piovene', 100)",piovene,vicelli
20,213.0,Conte Cesare e nipoti Piovene,Giacomo Traversa,"Casa, terzo soler n.9",12.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33729615, 45.43733033]",conte cesare e nipoti piovene,giacomo traversa,"('traversi', 58)","('piovene', 100)",piovene,
21,213.0,Conte Cesare e nipoti Piovene,Giacomo Morasciola,"Casa, terzo soler n.10",13.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33730597, 45.43734148]",conte cesare e nipoti piovene,giacomo morasciola,"('giacomazzi', 57)","('piovene', 100)",piovene,
22,213.0,Conte Cesare e nipoti Piovene,Bastian Chiamulera,"Casa, terzo soler n.11",14.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33729301, 45.4372872]",conte cesare e nipoti piovene,bastian chiamulera,"('bastian', 100)","('piovene', 100)",piovene,bastian
23,213.0,Conte Cesare e nipoti Piovene,Zuanne Cattarina,"Casa, terzo soler n.12",14.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33729841, 45.43730067]",conte cesare e nipoti piovene,zuanne cattarina,"('zuanne', 100)","('piovene', 100)",piovene,zuanne
24,213.0,Conte Cesare e nipoti Piovene,Cristofolo Rizzi,"Casa, quarto soler n.13",14.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33730567, 45.43731115]",conte cesare e nipoti piovene,cristofolo rizzi,"('rizzi', 100)","('piovene', 100)",piovene,rizzi
25,213.0,Conte Cesare e nipoti Piovene,Domenico Nata,"Casa, quarto soler n.14",13.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33731038, 45.43732096]",conte cesare e nipoti piovene,domenico nata,"('domenici', 67)","('piovene', 100)",piovene,
26,213.0,Conte Cesare e nipoti Piovene,Giacomo Chiamurela,"Casa, quarto soler n.15",12.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.33731683, 45.43733021]",conte cesare e nipoti piovene,giacomo chiamurela,"('chiurloto', 59)","('piovene', 100)",piovene,
27,213.0,Conte Cesare e nipoti Piovene,Gasparo Netto,"Casa, quarto soler n.16",14.0,2020.0,Calle Galliazza,"['housing', 'storage']",2020,"[12.3373224, 45.43734005]",conte cesare e nipoti piovene,gasparo netto,"('gasparoni', 73)","('piovene', 100)",piovene,
28,214.0,Cecilia Soranzo Piovene,Fausti Zanardini,Magazen,16.0,2020.0,Calle Galliazza,['storage'],2020,"[12.33740772, 45.43724802]",cecilia soranzo piovene,fausti zanardini,"('zanardini', 100)","('piovene', 100)",piovene,zanardini
29,215.0,Cecilia Soranzo Piovene,Andrea Battilana,Magazen,14.0,2020.0,Calle Galliazza,['storage'],2020,"[12.33741228, 45.43726087]",cecilia soranzo piovene,andrea battilana,"('andrighetti', 59)","('piovene', 100)",piovene,
30,216.0,Sorelle Orchese Basso,Andrea Battilana,Magazen,5.0,,Calle Galliazza,['storage'],13268,"[12.33742693, 45.43724241]",sorelle orchese basso,andrea battilana,"('andrighetti', 59)","('basso', 100)",basso,
31,217.0,Sorelle Orchese Basso,Giuseppe Visomio,Magazen,6.0,,Calle Galliazza,['storage'],13268,"[12.33743067, 45.43725462]",sorelle orchese basso,giuseppe visomio,"('gussoni', 52)","('basso', 100)",basso,
32,218.0,Sorelle Orchese Basso,Biasio Garbiza,"Casa, primo appartamento",50.0,,Calle Galliazza,['housing'],13268,"[12.337456509999999, 45.43723642]",sorelle orchese basso,biasio garbiza,"('biasio', 100)","('basso', 100)",basso,biasio
33,218.0,Sorelle Orchese Basso,Giovanni Antonio Renaldi,"Casa, secondo appartamento",32.0,,Calle Galliazza,['housing'],13268,"[12.33746122, 45.43724624]",sorelle orchese basso,giovanni antonio renaldi,"('giovannino', 53)","('basso', 100)",basso,
34,218.0,Sorelle Orchese Basso,Agostin Zambelli,"Casa, terzo appartamento",32.0,,Calle Galliazza,['housing'],13268,"[12.33747065, 45.43722887]",sorelle orchese basso,agostin zambelli,"('zambelli', 100)","('basso', 100)",basso,zambelli
35,218.0,Sorelle Orchese Basso,Giovanni Maria Foppa,Soffitta,14.0,,Calle Galliazza,['housing'],13268,"[12.33747435, 45.43724169]",sorelle orchese basso,giovanni maria foppa,"('foppa', 100)","('basso', 100)",basso,foppa
36,219.0,Antonio Armati,Francesco Morasciutti,Magazen,24.0,,Calle Galliazza,['storage'],13268,"[12.33752607, 45.43717511]",antonio armati,francesco morasciutti,"('morasciuti', 65)","('armati', 100)",armati,
37,220.0,era ditta Palmarini poi Arigoni ora Zuane Clemente,Piero Calappo,"Casa, porzione",14.0,,Calle Galliazza,['housing'],13268,"[12.33740507, 45.43721278]",era ditta palmarini poi arigoni ora zuane clemente,piero calappo,"('piero', 100)","('arigoni', 100)",arigoni,piero
38,220.0,Antonio Darduin,Bortolo Calappo,"Casa, altra porzione",14.0,,Calle Galliazza,['housing'],13268,"[12.33738224, 45.43722196]",antonio darduin,bortolo calappo,"('bortoloto', 67)","('darduin', 100)",darduin,
39,220.0,Giovanni Paolo Palmarin,Bortolo Calappo,Camerin,8.0,,Calle Galliazza,['housing'],13268,"[12.33728064, 45.43724883]",giovanni paolo palmarin,bortolo calappo,"('bortoloto', 67)","('giovannino', 61)",,
40,223.0,Giulio e fratelli Contarini,Piero Millesi,Casa,65.0,2027.0,Calle Galliazza,['housing'],2027,"[12.33707825, 45.43730958]",giulio e fratelli contarini,piero millesi,"('piero', 100)","('contarini', 100)",contarini,piero
41,222.0,Vittorio Palmerini,Francesco Morasciutti,Magazen,6.0,,Calle Galliazza,['storage'],13268,"[12.33711673, 45.43729777]",vittorio palmerini,francesco morasciutti,"('morasciuti', 65)","('palmerio', 62)",,
42,221.0,"Bortolo, Giocondo, Sebastian e figlioli del quondam Vittorio Palmerini",Antonio Lucia,"Casa, primo soler",16.0,,Calle Galliazza,"['housing', 'storage']",13268,"[12.33725457, 45.43726204]","bortolo, giocondo, sebastian e figlioli del quondam vittorio palmerini",antonio lucia,"('tonioli', 70)","('del', 100)",,
43,221.0,Domenico Coch,Antonio Lucia,"Casa, porzione del secondo soler",25.0,2026.0,Calle Galliazza,"['housing', 'storage']",2026,"[12.33724312, 45.43726723]",domenico coch,antonio lucia,"('tonioli', 70)","('domenici', 67)",,
44,221.0,Giovanni Paolo Palmerini,Girolamo Brunelli,"Casa, altra porzione del secondo soler",30.0,,Calle Galliazza,"['housing', 'storage']",13268,"[12.3372317, 45.43725362]",giovanni paolo palmerini,girolamo brunelli,"('girolamo', 100)","('giovannino', 59)",,girolamo
45,221.0,Domenico Coch,Antonio Rubbini,"Casa, porzione del terzo soler",30.0,2026.0,Calle Galliazza,"['housing', 'storage']",2026,"[12.33722663, 45.43726988]",domenico coch,antonio rubbini,"('antonini', 70)","('domenici', 67)",,
46,221.0,Giovanni Paolo Palmerini,Costantin Paulinson,"Casa, altra porzione di terzo soler",26.0,,Calle Galliazza,"['housing', 'storage']",13268,"[12.33720999, 45.43727556]",giovanni paolo palmerini,costantin paulinson,"('costantin', 100)","('giovannino', 59)",,costantin
47,224.0,Reverendo Monastero di Santa Maria della Croma di Ragusa,Giovanni Battista Sola,Casa,70.0,2029.0,Calle de Stagneri,['housing'],2029,"[12.33683906, 45.43732458]",reverendo monastero di santa maria della croma di ragusa,giovanni battista sola,"('battistiol', 62)","('di', 100)",,
48,225.0,Reverendo Monastero di Santa Maria della Croma di Ragusa,Giovanni Maria Lucatello,Bottega,30.0,2029.0,Calle de Stagneri,['shop'],2029,"[12.33686148, 45.43731935]",reverendo monastero di santa maria della croma di ragusa,giovanni maria lucatello,"('lucatello', 100)","('di', 100)",,lucatello
49,226.0,Reverendo Monastero di Santa Maria della Croma di Ragusa,Carlo Pezzi,Bottega,30.0,2029.0,Calle de Stagneri,['shop'],2029,"[12.33688152, 45.43731489]",reverendo monastero di santa maria della croma di ragusa,carlo pezzi,"('carlo', 100)","('di', 100)",,carlo
50,227.0,Reverendo Monastero di Santa Maria della Croma di Ragusa,Carlo Pezzi,Casa,60.0,2029.0,Calle de Stagneri,['housing'],2029,"[12.3369121, 45.43730986]",reverendo monastero di santa maria della croma di ragusa,carlo pezzi,"('carlo', 100)","('di', 100)",,carlo
51,228.0,Vincenzo Venier,Carlo Pezzi,Bottega,18.0,2028.0,Calle de Stagneri,['shop'],2028,"[12.33698066, 45.43729092]",vincenzo venier,carlo pezzi,"('carlo', 100)","('venier', 100)",venier,carlo
52,229.0,Vincenzo Venier,Giuseppe Previtali,Casa e bottega,122.0,2028.0,Calle de Stagneri,"['housing', 'shop']",2028,"[12.33701038, 45.43727929]",vincenzo venier,giuseppe previtali,"('giustriniani', 53)","('venier', 100)",venier,
53,230.0,Angelo Contarini,Giovanni Battista Galvan,Bottega,32.0,2027.0,Calle de Stagneri,['shop'],2027,"[12.33706352, 45.43726575]",angelo contarini,giovanni battista galvan,"('galvan', 100)","('contarini', 100)",contarini,galvan
54,231.0,Angelo Contarini,Zuanne Boldon,Bottega,36.0,2027.0,Calle de Stagneri,['shop'],2027,"[12.33709071, 45.43725817]",angelo contarini,zuanne boldon,"('zuanne', 100)","('contarini', 100)",contarini,zuanne
55,232.0,Angelo Contarini,Zuanne Redolfi,Bottega,50.0,2027.0,Calle de Stagneri,['shop'],2027,"[12.33711791, 45.43725059]",angelo contarini,zuanne redolfi,"('redolfi', 100)","('contarini', 100)",contarini,redolfi
56,233.0,Bortolo Palmerini,Marco Moretti,Bottega,30.0,,Calle de Stagneri,['shop'],13268,"[12.33718003, 45.43721663]",bortolo palmerini,marco moretti,"('moretti', 100)","('bortolini', 69)",,moretti
57,234.0,Giovanni Paolo e fratelli Palmerini,Antonio Lucia,Bottega,12.0,,Calle de Stagneri,['shop'],13268,"[12.33720802, 45.43720758]",giovanni paolo e fratelli palmerini,antonio lucia,"('tonioli', 70)","('giovannino', 44)",,
58,235.0,Giovanni Piero Castelli,Angelo Molena,Bottega,8.0,,Calle de Stagneri,['shop'],13268,"[12.33724948, 45.43720683]",giovanni piero castelli,angelo molena,"('molena', 100)","('castelli', 100)",castelli,molena
59,236.0,Antonio Armati,Francesco Morasciutti,Bottega metà,30.0,2024.0,Calle de Stagneri,['shop'],2024,"[12.33729494, 45.43719141]",antonio armati,francesco morasciutti,"('morasciuti', 65)","('armati', 100)",armati,
60,236.0,Antonio Armati,Per uso del padrone,Alltra metà di bottega,,2024.0,Calle de Stagneri,['shop'],2024,"[12.33727228, 45.43719695]",antonio armati,per uso del padrone,"('del', 100)","('armati', 100)",armati,
61,237.0,Antonio Armati,Bortolo Zorzi,Bottega,20.0,2024.0,Calle de Stagneri,['shop'],2024,"[12.33731829, 45.43718589]",antonio armati,bortolo zorzi,"('zorzi', 100)","('armati', 100)",armati,zorzi
62,238.0,"Bortolo Campana, procuratore di Fiama Fiorelli relicta di Giovanni Giacomo Dente",Andrea Battilana,"Casa, magazen e bottega di luganegher",90.0,,Calle de Stagneri,"['housing', 'shop', 'storage']",13268,"[12.33737157, 45.43716615]","bortolo campana, procuratore di fiama fiorelli relicta di giovanni giacomo dente",andrea battilana,"('andrighetti', 59)","('dente', 100)",dente,
63,238.0,Andrea Battilana,,Inviamento di bottega,,,Calle de Stagneri,['shop'],13268,"[12.3373988, 45.43715775]",andrea battilana,nan,"('nani', 86)","('andrighetti', 59)",,
64,239.0,Fiama Fiorelli vedova di Giacomo Dente,Margarita Ferretti,"Casa, primo appartamento",40.0,,Calle de Stagneri,['housing'],13268,"[12.33742366, 45.43715011]",fiama fiorelli vedova di giacomo dente,margarita ferretti,"('ferretti', 100)","('dente', 100)",dente,ferretti
65,239.0,Fiama Fiorelli vedova di Giacomo Dente,Girolamo Rossetti,"Casa, secondo appartamento",40.0,,Calle de Stagneri,['housing'],13268,"[12.33744965, 45.43714333]",fiama fiorelli vedova di giacomo dente,girolamo rossetti,"('rossetti', 100)","('dente', 100)",dente,rossetti
66,240.0,Ludovico Manin,Girolamo Rossetti,Bottega con camerin,21.0,,Calle de Stagneri,"['housing', 'shop']",13268,"[12.33749697, 45.43712964]",ludovico manin,girolamo rossetti,"('rossetti', 100)","('manin', 100)",manin,rossetti
67,185.0,Francesco Zon,Simon Gua,Casa,51.0,2013.0,Calle dell'Aquila nera,['housing'],2013,"[12.33711578, 45.43746502]",francesco zon,simon gua,"('guarinoni', 67)","('zon', 100)",zon,
68,186.0,Francesco Zon,Antonio Rizzi,Bottega,10.0,2013.0,Calle dell'Aquila nera,['shop'],2013,"[12.337135, 45.4374594]",francesco zon,antonio rizzi,"('rizzi', 100)","('zon', 100)",zon,rizzi
69,187.0,Angela Diedo,Anna Fiori,Casa,50.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33702816, 45.43749634]",angela diedo,anna fiori,"('anna', 100)","('diedo', 100)",diedo,anna
70,204.0,Taddeo Gradenigo,Antonio Millesi,Casa,16.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33757727, 45.43730657]",taddeo gradenigo,antonio millesi,"('antonelli', 67)","('gradenigo', 100)",gradenigo,
71,192.0,Ferigo e fratelli Marcello,Anzolo Del Missier,"Casa, primo appartamento",22.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33713266, 45.43750909]",ferigo e fratelli marcello,anzolo del missier,"('del', 100)","('marcello', 100)",marcello,
72,192.0,Ferigo e fratelli Marcello,Osvaldo Pasquali,"Casa, secondo appartamento e magazzino",43.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33713981, 45.43752199]",ferigo e fratelli marcello,osvaldo pasquali,"('pasquali', 100)","('marcello', 100)",marcello,pasquali
73,192.0,Ferigo e fratelli Marcello,Benetto Zondrini,"Casa, terzo appartamento",30.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33714936, 45.4375022]",ferigo e fratelli marcello,benetto zondrini,"('bettoni', 61)","('marcello', 100)",marcello,
74,192.0,Ferigo e fratelli Marcello,Domenico Strambin,"Casa, quarto appartamento",37.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33715647, 45.43751571]",ferigo e fratelli marcello,domenico strambin,"('domenici', 64)","('marcello', 100)",marcello,
75,203.0,Pietro Girolamo Capello,Antonio Millesi,Magazen,6.0,,Calle dell'Aquila nera,['storage'],13268,"[12.33745757, 45.43734199]",pietro girolamo capello,antonio millesi,"('antonelli', 67)","('girolamo', 100)",girolamo,
76,202.0,Cristofolo Rotta,Inaffittato,Magazen,16.0,,Calle dell'Aquila nera,['storage'],13268,"[12.33744357, 45.43734651]",cristofolo rotta,inaffittato,"('pinaffo', 67)","('rotta', 100)",rotta,
77,201.0,Marino Pesaro,Venantio Festari,Magazen,24.0,,Calle dell'Aquila nera,['storage'],13268,"[12.33743634, 45.43733542]",marino pesaro,venantio festari,"('frignani', 58)","('pesaro', 100)",pesaro,
78,200.0,Maria Benedetta Gheringhi del monastero di ogni Santi,Zuanne Cigogna,"Casa, primo appartamento",30.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33739768, 45.4373697]",maria benedetta gheringhi del monastero di ogni santi,zuanne cigogna,"('cigogna', 100)","('santi', 100)",santi,cigogna
79,200.0,Maria Benedetta Gheringhi del monastero di ogni Santi,Giuseppe Gravenaur,"Casa, secondo appartamento",60.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33735586, 45.43737964]",maria benedetta gheringhi del monastero di ogni santi,giuseppe gravenaur,"('speranza', 54)","('santi', 100)",santi,
80,200.0,Giulio Tabacco,Giacomo Locatello,"Casa, terzo appartamento con magazen",90.0,,Calle dell'Aquila nera,"['housing', 'storage']",13268,"[12.33739317, 45.43735565]",giulio tabacco,giacomo locatello,"('locatello', 100)","('tabacco', 100)",tabacco,locatello
81,200.0,Giulio Tabacco,Zuanne De Luca,"Casa, quarto appartamento con magazen",50.0,,Calle dell'Aquila nera,"['housing', 'storage']",13268,"[12.33734696, 45.43736731]",giulio tabacco,zuanne de luca,"('de luca', 100)","('tabacco', 100)",tabacco,de luca
82,188.0,Camillo Trevisan,Angelo Martinazzi,Casa primo appartamento con magazen,108.0,,Calle dell'Aquila nera,"['housing', 'storage']",13268,"[12.33691982, 45.43752838]",camillo trevisan,angelo martinazzi,"('agostinazzi', 71)","('trevisan', 100)",trevisan,
83,188.0,Camillo Trevisan,Francesca Nani,Porzione del secondo appartamento,26.0,,Calle dell'Aquila nera,['housing'],13268,"[12.3369855, 45.43750565]",camillo trevisan,francesca nani,"('nani', 100)","('trevisan', 100)",trevisan,nani
84,188.0,Camillo Trevisan,Francesco Cossutta,Altra porzione di secondo appartamento,46.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33690227, 45.43753525]",camillo trevisan,francesco cossutta,"('francesconi', 62)","('trevisan', 100)",trevisan,
85,188.0,Camillo Trevisan,Anna Maria relicta Giovanni Carminati,Terzo appartamento,60.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33698315, 45.43755457]",camillo trevisan,anna maria relicta giovanni carminati,"('carminati', 100)","('trevisan', 100)",trevisan,carminati
86,188.0,Camillo Trevisan,Inaffittato,Magazen del secondo appartamento,,,Calle dell'Aquila nera,"['housing', 'storage']",13268,"[12.33699889, 45.43754948]",camillo trevisan,inaffittato,"('pinaffo', 67)","('trevisan', 100)",trevisan,
87,188.0,Camillo Trevisan,Maria relicta Alban Gottardo,Casa primo soler con loghetto,12.0,,Calle dell'Aquila nera,"['housing', 'storage']",13268,"[12.33701372, 45.43754558]",camillo trevisan,maria relicta alban gottardo,"('grattarol dalle navi', 50)","('trevisan', 100)",trevisan,
88,189.0,Camillo Trevisan,Lucietta Pellegrini,Casa secondo soler,20.0,,Calle dell'Aquila nera,"['housing', 'storage']",13268,"[12.33702941, 45.4375417]",camillo trevisan,lucietta pellegrini,"('pellegrini', 100)","('trevisan', 100)",trevisan,pellegrini
89,189.0,Camillo Trevisan,Iseppo Solda,"Casa, altra porzione",20.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33703492, 45.43755275]",camillo trevisan,iseppo solda,"('appostoli', 57)","('trevisan', 100)",trevisan,
90,189.0,Camillo Trevisan,Zuanne Marchi,"Casa, terzo soler porzione",17.0,,Calle dell'Aquila nera,"['housing', 'storage']",13268,"[12.33703782, 45.43756434]",camillo trevisan,zuanne marchi,"('marchi', 100)","('trevisan', 100)",trevisan,marchi
91,189.0,Camillo Trevisan,Pasqua Dal Monaco,"Casa, altra porzione",18.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33704769, 45.43753788]",camillo trevisan,pasqua dal monaco,"('dal', 100)","('trevisan', 100)",trevisan,dal
92,189.0,Camillo Trevisan,Anzola Maccoppe,"Casa, quarto soler",9.0,,Calle dell'Aquila nera,"['housing', 'storage']",13268,"[12.33705397, 45.43755077]",camillo trevisan,anzola maccoppe,"('polacco', 55)","('trevisan', 100)",trevisan,
93,190.0,Camillo Trevisan,Piero Redena,Bottega,16.0,,Calle dell'Aquila nera,['shop'],13268,"[12.33706082, 45.43753334]",camillo trevisan,piero redena,"('piero', 100)","('trevisan', 100)",trevisan,piero
94,191.0,Camillo Trevisan,Zuanne Zonbini e Salvador Sai,Casa,50.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33708448, 45.43752616]",camillo trevisan,zuanne zonbini e salvador sai,"('salvador', 100)","('trevisan', 100)",trevisan,salvador
95,199.0,Giovanni e fratelli Martinenghi da Moncelese,Antonio Millesi,Magazen,10.0,,Calle dell'Aquila nera,['storage'],13268,"[12.337327460000001, 45.43737898]",giovanni e fratelli martinenghi da moncelese,antonio millesi,"('antonelli', 67)","('da', 100)",,
96,198.0,Giovanni e fratelli Martinenghi da Moncelese,Francesco Ferrari,Magazen,16.0,2010.0,Calle dell'Aquila nera,['storage'],2010,"[12.33730733, 45.43738579]",giovanni e fratelli martinenghi da moncelese,francesco ferrari,"('ferrari', 100)","('da', 100)",,ferrari
97,197.0,Scola grande di San Giovanni Evangelista,Francesco Ferrari,Magazen,14.0,2011.0,Calle dell'Aquila nera,['storage'],2011,"[12.33726568, 45.4373921]",scola grande di san giovanni evangelista,francesco ferrari,"('ferrari', 100)","('di', 100)",,ferrari
98,196.0,Carlo Ruzini,Antonio Tolla,Casa,36.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33761421, 45.43740023]",carlo ruzini,antonio tolla,"('toniollo', 67)","('carlo', 100)",carlo,
99,195.0,Carlo Ruzini,Antonio Millesi,Casa,40.0,,Calle dell'Aquila nera,['housing'],13268,"[12.33759403, 45.4374047]",carlo ruzini,antonio millesi,"('antonelli', 67)","('carlo', 100)",carlo,
100,194.0,Carlo Ruzini,Giuseppe Visomio,Casa,30.0,2003.0,Calle dell'Aquila nera,['housing'],2003,"[12.33735674, 45.43745268]",carlo ruzini,giuseppe visomio,"('gussoni', 52)","('carlo', 100)",carlo,
101,193.0,Carlo Ruzini,Zuanne Turra,Magazen,,2003.0,Calle dell'Aquila nera,['storage'],2003,"[12.33733694, 45.43745833]",carlo ruzini,zuanne turra,"('turra', 100)","('carlo', 100)",carlo,turra
102,1.0,Sei sotto canonici,Abitano i canonici,case numero 23,,2419.0,Canonica,['housing'],2419,"[12.3398533, 45.43494848]",sei sotto canonici,abitano i canonici,"('canonici', 100)","('canonici', 100)",canonici,canonici
103,2.0,Ruggier Beccaria,Domenico Coronato,bottega da quadri,40.0,,In piazzetta vicin la chiesa di San Marco,['shop'],13268,"[12.33961441, 45.43504683]",ruggier beccaria,domenico coronato,"('tradonico', 62)","('beccari', 61)",,
104,3.0,Giuliano Giavarina e fratelli,Ciprian Caime,bottega di orese,36.0,,In piazzetta vicin la chiesa di San Marco,['shop'],13268,"[12.33957954, 45.43501074]",giuliano giavarina e fratelli,ciprian caime,"('cipriani', 67)","('giavarina', 100)",giavarina,
105,4.0,Lunardo Valmarana e fratelli,Francesca Bernardi r. Giovanni Battista Maffei,bottega di tellariol,60.0,2413.0,Al campanile,['shop'],2413,"[12.33909356, 45.43412895]",lunardo valmarana e fratelli,francesca bernardi r. giovanni battista maffei,"('maffei', 100)","('valmarana', 100)",valmarana,maffei
